capture,source,dest,dest_port,label,n_events,n_gaps,median_gap,mad_gap,rcv,mean_gap,std_gap,cv,min_gap,max_gap,median_bytes
benign,10.0.2.5,18.161.34.110,443,benign,10,9,0.00033283233642578125,0.0002608299255371094,0.7836676217765043,1.6700809796651204,3.3222728693219343,1.9892884894648082,3.4809112548828125e-05,7.999948978424072,0.0
benign,10.0.2.5,18.161.34.113,443,benign,13,12,0.0005114078521728516,0.0004214048385620117,0.824009324009324,1.2538813352584839,2.8693875892184213,2.2884044195672675,7.200241088867188e-05,8.01324987411499,0.0
benign,10.0.2.5,18.161.34.83,443,benign,13,12,0.11832058429718018,0.1181340217590332,0.9984232452936642,3.4281208316485086,7.453405144566191,2.1741955755340197,9.202957153320312e-05,25.296644926071167,3963.0
benign,10.0.2.5,18.161.34.9,443,benign,13,12,0.0003720521926879883,0.00025665760040283203,0.6898429990387697,1.2534208297729492,2.862875502003361,2.2840497253599623,0.00011491775512695312,7.990522146224976,0.0
benign,10.0.2.5,224.0.0.252,5355,benign,37,36,300.0722779035568,0.030580520629882812,0.00010191051583815879,275.1669027209282,81.91499628013648,0.2976920387958647,0.8470759391784668,304.96507000923157,44.0
benign,10.0.2.5,23.201.34.134,443,benign,41,40,5.089390516281128,5.088860511779785,0.9998958609091506,215.30108960270883,862.9667919541914,4.0081859016441035,0.00018596649169921875,5339.185257911682,2792.0
benign,10.0.2.5,23.201.34.144,443,benign,56,55,1.4693849086761475,1.4690299034118652,0.9997583987271231,162.74072705615652,647.2539588741614,3.977209458151279,0.00019288063049316406,4404.659914016724,3881.5
benign,10.0.2.5,23.201.56.37,443,benign,19,18,5.796847581863403,5.414926052093506,0.9341156508988065,174.16522677739462,407.2730729992409,2.3384293210250737,0.048963069915771484,1423.0076711177826,2545.5
benign,10.0.2.5,23.201.56.56,443,benign,33,32,6.044669032096863,5.789530515670776,0.9577911519933822,301.4552258178592,1085.9913299942007,3.602496281322926,0.0015368461608886719,6072.23193693161,1694.5
benign,10.0.2.5,23.201.56.58,443,benign,16,15,7.010075092315674,6.53003191947937,0.931520965679452,172.69713807106018,431.60891491435035,2.4992244789647584,1.0967254638671875e-05,1353.1340961456299,1772.5
benign,10.0.2.5,23.201.56.59,443,benign,15,14,7.523273468017578,7.522777438163757,0.9999340672838852,648.80626477514,1313.5675456286758,2.0245913409666683,7.009506225585938e-05,4707.211361885071,1692.0
benign,10.0.2.5,23.221.236.100,443,benign,12,11,0.5496129989624023,0.2859220504760742,0.5202243233254267,7.218043804168701,16.732633917535782,2.3181674109364696,0.12324690818786621,56.91485786437988,0.0
